Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C5, C6",0603,5,100n,
"C10, C9",0603,2,470p,
"C11, C13, C20, C21, C22, C24",0805,6,22u/16V,
"C14, C15",0603,2,22p,
C16,0603,1,10n,
C17,0603,1,4n7,
"C18, C23",0603,2,15p,
C19,0603,1,220n,
"C3, C4",0603,2,10u,
"C7, C8",0603,2,1n,
CN1,CONN-TH_WJ15EDGRC-3.81-6P,1,WJ15EDGRC-3.81-6P,C7246
"D1, D5",SOD-123_L2.8-W1.8-LS3.7-RD,2,MBR120LSF,C130880
"D3, D4",SOD-123FL_L2.7-W1.8-LS3.8-BI,2,SMF9.0CA_C19077504,C19077504
"E1, E2",SOD-323_L1.8-W1.3-LS2.5-RD,2,CESD3V3D3,C38388
"L1, L2",IND-SMD_L5.4-W5.2_FXL0530,2,4u7,C177246
LED1,LED0805-R-RD,1,GREEN,C2297
"LED2, LED3",LED0805-R-RD,2,RED,C84256
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
"R1, R11, R12, R2, R22, R3, R4",0603,7,10k,
"R10, R7, R8, R9",0603,4,100k,
"R13, R14",0603,2,22k,
R15,0603,1,100,
"R16, R24, R29, R5, R6",0603,5,47k,
"R17, R18, R19, R20",0603,4,330,
R21,0603,1,560k,
"R23, R30",0603,2,4k7,
R25,0603,1,59k,
"R26, R27",RES-ADJ-SMD_TC33X-2-104E,2,100k,C719186
R28,0603,1,750k,
"RV1, RV2",RES-ADJ-TH_3296P,2,100k,C780112
"U10, U11",HDR-TH_20P-P2.54-V-F,2,ZX-PM2.54-1-20PY,C7499336
"U3, U4",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,LM324DT,C71035
U9,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,TPS65131RGER,C87663
