Designator,Mid X,Mid Y,Rotation,Layer
C1,141.5,-115.25,90.0,top
C10,156.5,-121.8,90.0,top
C11,154.5,-98.0,180.0,top
C12,151.75,-96.75,270.0,top
C13,152.0,-101.5,90.0,top
C14,135.0,-122.3,0.0,top
C15,135.0,-119.8,180.0,top
C16,144.5,-87.3,180.0,top
C17,147.6,-85.3,90.0,top
C18,147.0,-89.8,90.0,top
C19,149.4,-85.3,90.0,top
C2,162.0,-115.25,90.0,top
C20,158.5,-98.0,0.0,top
C21,158.5,-95.75,0.0,top
C22,142.5,-90.3,180.0,top
C23,153.0,-85.3,90.0,top
C24,142.5,-92.5,180.0,top
C3,145.0,-108.6,180.0,top
C4,155.5,-108.7,180.0,top
C5,151.75,-116.0,90.0,top
C6,151.75,-112.75,270.0,top
C7,148.9,-121.8,90.0,top
C8,160.1,-121.8,90.0,top
C9,145.3,-121.8,90.0,top
CN1,133.7,-105.005,270.0,top
D1,147.25,-95.75,0.0,top
D3,130.5,-122.3,180.0,top
D4,130.5,-119.8,180.0,top
D5,155.5,-89.75,270.0,top
E1,131.0,-91.8,180.0,top
E2,131.0,-89.8,180.0,top
L1,148.0,-100.25,270.0,top
L2,159.5,-90.75,270.0,top
LED1,132.4,-124.7,0.0,top
LED2,132.4,-127.2,0.0,top
LED3,132.4,-129.7,0.0,top
Q1,155.0,-101.5,270.0,top
R1,148.2,-106.9,0.0,top
R10,152.9,-121.8,270.0,top
R11,150.7,-121.8,270.0,top
R12,161.9,-121.8,270.0,top
R13,147.1,-121.8,90.0,top
R14,158.3,-121.8,90.0,top
R15,154.5,-96.0,0.0,top
R16,154.5,-94.25,180.0,top
R17,142.5,-100.0,180.0,top
R18,142.5,-98.2,180.0,top
R19,142.5,-101.8,180.0,top
R2,158.7,-107.0,0.0,top
R20,142.5,-103.5,180.0,top
R21,145.3,-89.8,270.0,top
R22,128.4,-124.7,0.0,top
R23,128.4,-127.2,0.0,top
R24,135.3,-81.1,270.0,top
R25,135.3,-85.6,270.0,top
R26,131.0,-81.1,270.0,top
R27,131.0,-85.6,270.0,top
R28,151.2,-85.3,270.0,top
R29,154.8,-85.3,90.0,top
R3,148.2,-108.6,180.0,top
R30,128.4,-129.8,0.0,top
R4,158.7,-108.7,180.0,top
R5,145.0,-106.9,0.0,top
R6,155.5,-107.0,0.0,top
R7,143.5,-121.8,270.0,top
R8,141.7,-121.8,270.0,top
R9,154.7,-121.8,270.0,top
RV1,145.7,-130.8,270.0,top
RV2,155.995,-130.785,270.0,top
U10,164.5,-105.0,90.0,top
U11,139.0,-105.0,90.0,top
U3,146.5,-114.5,180.0,top
U4,157.0,-114.5,0.0,top
U9,150.5,-90.0,180.0,top
